"","x"
"1","서울시립대 "
"2"," 경제학부 "
"3"," 학점 3.33 "
"4"," 토익: 790 "
"5"," 사회생활 경험: 공공데이터 인턴 4개월 "
"6"," 공모전 수상 1회"
"7","건국대 "
"8"," 산업공학과 "
"9"," 학점 3.87"
"10","4.5 "
"11"," 토익: 820"
"12"," 토익스피킹: 140"
"13","레벨 6 "
"14"," 사회생활 경험: 현대디지텍 6개월"
"15","건국대 "
"16"," 산업공학과 "
"17"," 학점 3.87"
"18","4.5 "
"19"," 토익: 820"
"20"," 토익스피킹: 140"
"21","레벨 6 "
"22"," 사회생활 경험: 현대디지텍 6개월"
"23","신한대학교 "
"24"," 컴퓨터공학전공 "
"25"," 학점 3.2"
"26","4.5 "
"27"," 사회생활 경험: 한화에스테이트(2년)"
"28","서울시립대학교 대학원 "
"29"," 학점 4.13 "
"30"," SAS Certified Base Programmer for SAS 9"
"31"," SAS Certified Advanced Programmer for SAS 9 SQLD"
"32"," GBSA SW-tech 전문교육 1기 (Data Scientist Academy) (1개월)"
"33"," 넥슨코리아 데이터분석 인턴 (6개월)"
"34","서울시립대 "
"35"," 경제학부 "
"36"," 학점 3.33 "
"37"," 토익: 790 "
"38"," 사회생활 경험: 한국정보사회진흥원 인턴 4개월 "
"39"," 공모전 수상 1회"
"40","건국대 "
"41"," 산업공학과 "
"42"," 학점 3.87"
"43","4.5 "
"44"," 토익: 820"
"45"," 토익스피킹: 140"
"46","레벨 6 "
"47"," 사회생활 경험: 현대디지텍 6개월"
"48","연세대학교 "
"49"," 경영학과 "
"50"," 학점 3.77"
"51","4.3 "
"52"," 토익: 960 "
"53"," 사회생활 경험: 뤼이드 인턴 7개월"
"54","SKY "
"55"," 산업공학 "
"56"," 학점 3.7"
"57","4.3 "
"58"," 오픽: IH "
"59"," 사회생활 경험: 삼성전자 인턴 4개월"
"60","목포대학교 "
"61"," 소프트웨어공학 "
"62"," 학점 3.7 "
"63"," 사회생활 경험: 넥스챌 9개월 "
"64"," 특허 "
"65"," 한국사검정시험: 고급"
"66"," 기타: 정보처리기사"
"67"," SQLD"
"68","서울시립대학교 대학원 "
"69"," 학점 4.13 "
"70"," SAS Certified Base Programmer for SAS 9"
"71"," SAS Certified Advanced Programmer for SAS 9 SQLD"
