"","x"
"1","건동홍 "
"2"," 경영 "
"3"," 학점 3.7 "
"4"," 토익: 975"
"5"," 토익스피킹: 170"
"6","레벨7 "
"7"," 사회생활 경험: 중소기업 마케팅 인턴 6개월 "
"8"," 창업공모전 대상"
"9","지방대 "
"10"," 광고홍보전공 "
"11"," 학점 3.78"
"12","4.5 "
"13"," 마케팅 공모전 입선"
"14"," 장려"
"15"," 최우수상 3회 수상"
"16","건동홍 "
"17"," 경영 "
"18"," 학점 3.7 "
"19"," 토익: 975"
"20"," 토익스피킹: 170"
"21","레벨7 "
"22"," 사회생활 경험: 중소기업 인턴 마케팅 6개월 "
"23"," 창업공모전 대상"
"24","중경외시 "
"25"," 경영 "
"26"," 학점 4.12"
"27","4.5 "
"28"," 오픽: ih "
"29"," true "
"30"," 상상"
"31"," 나의서울 대학생 마케팅 공모전 "
"32"," 기타: 운전면허"
"33","부산대학교 "
"34"," 의류학과 "
"35"," 학점 3.99"
"36","4.5 "
"37"," 토익: 910"
"38"," 토익스피킹: 140"
"39","레벨 6 "
"40"," 사회생활 경험: 부산섬유패션산업연합회(4개월) "
"41"," 아이즈매거진(대외활동) "
"42"," 기타: GTQ 그래픽기술자격 1급"
"43","건동홍 "
"44"," 경영 "
"45"," 학점 3.7 "
"46"," 토익: 975"
"47"," 토익스피킹: 170"
"48","레벨7 "
"49"," 사회생활 경험: 중소기업 인턴 6개월 "
"50"," 창업 공모전 대상"
"51","지거국 "
"52"," 신문방송학과 "
"53"," 학점 3.65"
"54","4.5 "
"55"," 오픽: IM1 "
"56"," 사회생활 경험: 경기도주식회사 인턴 4개월 "
"57"," 한국사검정시험: 고급"
"58","연세대 "
"59"," 정치외교 "
"60"," 학점 3.99"
"61","4.5 "
"62"," 오픽: IH "
"63"," 사회생활 경험: SAP KOREA 인사 인턴 6개월"
"64","해외대 "
"65"," 학점 3.32 "
"66"," 토익 710"
"67"," hsk 6급 "
"68"," 휴먼 번역 핀챗 6기"
"69"," 해외송금 모인 서포터즈 2기"
"70"," 고우해커스 지구촌 특파원 2기"
"71"," 외교부 서포터즈 14기"
"72","한양대학교 "
"73"," 학점 4.18 "
"74"," 토익 850 "
"75"," 학교 교지편집부"
"76"," 한국사 1급"
"77","중경외시 "
"78"," 경영학과 "
"79"," 학점 4.2 "
"80"," 오픽 IH "
"81"," 올리브영 아르바이트"
"82"," 몽골 봉사활동"
"83","한양대학교 "
"84"," 학점 4.18 "
"85"," 토익 850 "
"86"," 학교 교지편집부"
"87"," 한국사 1급"
"88","한국항공대학교 "
"89"," 학점 3.39 "
"90"," 토익 945"
"91"," 오픽 AL "
"92"," 마케팅 인턴(6개월)"
"93"," 마케팅 공모전"
"94"," 컴퓨터활용능력 1급"
"95","고려대 "
"96"," 경영 "
"97"," 학점 3.67 "
"98"," 토익 950"
"99"," 오픽 AL "
"100"," 동아리"
"101"," 학생회"
"102"," 대외활동 2회"
"103","Pennsylvania State Uni. "
"104"," 국제정치학 "
"105"," 학점 3.25"
"106","4.0 "
"107"," 토익 880"
"108","UNLV "
"109"," Hospitality management "
"110"," 학점 3.61 "
"111"," 토익 910"
"112"," 토스 Lv7"
"113","지방 "
"114"," 학점 3.33 "
"115"," 아르바이트경험 다수"
"116"," 봉사활동 다수"
"117"," 어학연수"
"118"," 대외활동3개"
"119","중어중국학과 "
"120"," 학점 3.8 "
"121"," hsk 5급 "
"122"," 올리브영 알바"
"123","수도권 "
"124"," 신소재학과 "
"125"," 학점 3.0 "
"126"," 대외활동 3회"
"127","연세대학 "
"128"," 경영학과 "
"129"," 학점 3.8"
"130","SKY "
"131"," 교육"
