"","x"
"1","고려대학교 대학원"
"2"," 건국대학교 "
"3"," 학점 4.5(대학원)"
"4","4.04(대학교) "
"5"," 토익 850"
"6"," 오픽 IM2 "
"7"," 삼양사 식품연구소 인턴 (2개월)"
"8"," 과대표 및 과학생회장 (3년)"
"9"," 교내 재학생 자문단 (2년)"
"10"," 대한민국 대학생 교육기부단 (6개월)"
"11"," 식품기사"
"12"," 운전면허증"
"13","지방대 "
"14"," 경영 "
"15"," 학점 4정도 "
"16"," 토익 900이상"
"17"," 오픽 AL "
"18"," 공모전수상"
"19","한중대 "
"20"," 간호학과 "
"21"," 학점 3.85"
"22","4.5 "
"23"," 사회생활 경험: 한림병원(3년) "
"24"," 기타: 산업위생관리기사"
"25","워드프로세서"
"26","간호사면허증"
"27","전북대학교 "
"28"," 학점 3.91 "
"29"," 토스 레벨 6"
"30"," 오픽 IH "
"31"," 차세대 에너지 융합 기술 경진대회 우수상"
"32"," 전북대학교 문화인재 청년 웅비상"
"33"," 해외봉사 사례 경진대회 우수상"
"34"," 한국 플랜트 건설 연구원 해외 플랜트 양성교육 (3개월)"
"35"," 기업의 달인되기 실무 인재상"
"36"," 해외 배낭여행 29개국"
"37"," 해외 봉사 (1개월)"
"38"," 미국교환학생 (1년)"
"39"," 미국학회참여(2개월)"
"40"," 생산관리 직무교육(2개월)"
"41"," 플랜트 엔지니어 1급"
"42"," 화공기사"
"43"," 컴활 1급"
"44"," 텔레마케팅 관리사"
"45"," 운전면허증 1종 대형"
"46"," TOPEC 540"
"47","서울 중위권 "
"48"," 전자 "
"49"," 학점 3.7 "
"50"," 토스 level 6 "
"51"," 대외활동 봉사동아리"
"52","Y대 "
"53"," 공학계열 "
"54"," 학점 3.7 "
"55"," 토익 880"
"56"," 토익스피킹 레벨7 "
"57"," 경력직 1년 6개월"
"58","인천대 "
"59"," 무역학 "
"60"," 학점 3.59 "
"61"," 토익: 975"
"62"," 오픽: AL"
"63"," 기타: DELE B1 "
"64"," 사회생활 경험: KOTRA 인턴 5개월 "
"65"," 대학생 미소국가대표"
"66"," 워홀프렌즈 "
"67"," 컴퓨터활용능력: 2급"
"68"," 기타: 워드 2급"
"69","지방사립 "
"70"," 경제학 "
"71"," 학점 4.15"
"72","4.5 "
"73"," 토익: 720"
"74"," 토익스피킹: 140"
"75","레벨 6 "
"76"," 사회생활 경험: 신용보증기금"
"77"," 기업은행 "
"78"," 회계대회수상 "
"79"," 한국사검정시험: 고급"
"80"," 기타: 신용분석사"
"81"," 재경관리사"
"82","서울 중위권 "
"83"," 기계자동차공학과 "
"84"," 학점 3.63"
"85","4.5 "
"86"," 오픽: IM2 "
"87"," 사회생활 경험: 반도체 fab 인턴"
"88","한양대 "
"89"," 소프트웨어학부 "
"90"," 학점 3.52"
"91","4.5 "
"92"," 토익: 715"
"93"," 오픽: IM1 "
"94"," 사회생활 경험: 한국전자통신연구원(ETRI) 연구연수생 2개월"
"95","SKY "
"96"," 산업공학 "
"97"," 학점 3.7"
"98","4.3 "
"99"," 오픽: IH "
"100"," 사회생활 경험: 삼성전자 인턴 4개월"
"101","서울과학기술대 "
"102"," 기계 "
"103"," 학점 3.92 "
"104"," 토익: 955"
"105"," 오픽: IH "
"106"," 사회생활 경험: 청소년단체협의회 인턴 3개월"
"107","방송통신대 "
"108"," 관광학 "
"109"," 학점 3.5 "
"110"," 사회생활 경험: 피투피시스템즈2년"
"111","누리dsm2년 "
"112"," 컴퓨터활용능력: 2급"
"113"," 기타: 워드프로세서"
"114","정보처리기능사"
"115","동아대 "
"116"," 기계공학과 "
"117"," 학점 4.08"
"118","4.5 "
"119"," 토익: 880"
"120"," 오픽: IM1 "
"121"," 사회생활 경험: 영풍정밀 10개월 정규직 근무 "
"122"," 한국사검정시험: 고급"
"123"," 컴퓨터활용능력: 2급"
"124"," 기타: 일반기계기사"
"125"," 산업안전기사"
"126","중앙대 "
"127"," 기계공학 "
"128"," 학점 4.3"
"129","4.5 "
"130"," 토익: 920"
"131"," 토익스피킹: 140"
"132","레벨6"
"133"," 오픽: IH "
"134"," 사회생활 경험: 한국전력기술 3개월 "
"135"," 한국사검정시험: 고급"
"136"," 컴퓨터활용능력: 1급"
"137"," 기타: 일반기계기사"
"138","인천대 "
"139"," 전자공학과 "
"140"," 학점 3.82"
"141","405 "
"142"," 토익스피킹: 레벨6 "
"143"," 스마트팩토리 직업교육활동"
"144","울산대학교 "
"145"," 조선해양공학부 "
"146"," 학점 3.89 "
"147"," 토익스피킹: 레벨 6 "
"148"," 한국사검정시험: 고급"
"149"," 기타: 일반기계기사"
"150"," 산업안전기사"
"151","충남대 "
"152"," 항공우주공학과 "
"153"," 학점 3.58 "
"154"," 토익: 835"
"155"," 토익스피킹: 130"
"156","lv6 "
"157"," 사회생활 경험: 공군장교 6년"
"158","지거국 "
"159"," 전자공 "
"160"," 학점 3.4 "
"161"," 토익: 800 "
"162"," true"
"163","서성한 "
"164"," 전자공학부 "
"165"," 학점 4.12 "
"166"," 토익: 910"
"167"," 토익스피킹: 160"
"168","레벨7"
"169"," 오픽: IH"
"170","지거국 "
"171"," 전자공 "
"172"," 학점 3.4 "
