"","x"
"1","티유컨설팅 "
"2","SK브로드밴드 "
"3","CJ프레시웨이 "
"4","라온피플 "
"5","GS리테일 "
"6","몬드리안에이아이 "
"7","CJ프레시웨이 "
"8","네이버웹툰 "
"9","신한카드 "
"10","한국정보화진흥원 "
"11","11번가 "
"12","지니뮤직 "
"13","효성ITX "
"14","한국산업기술시험원 "
"15","넥슨 "
"16","신한카드 "
"17","행정안전부 공공데이터 "
"18","제주국제자유도시개발센터 "
"19","SK C&C "
"20","한국표준과학연구원 국가소재연구데이터센터 "
"21","LG유플러스 "
"22","행정안전부 "
"23","한국정보화진흥원 "
"24","SK C&C "
"25","SK C&C "
"26","NIA "
"27","공공데이터 청년인턴 "
"28","국가소재연구데이터센터 "
"29","SK C&C "
"30","행정안전부 공공데이터 청년인턴 "
"31","넥슨 "
"32","유디에스 "
"33","한국지능정보사회진흥원 "
"34","코오롱베니트 "
"35","신한카드 "
"36","행정안전부, 한국지능정보사회진흥원 "
"37","LG CNS "
"38","신한은행 "
"39","신한은행 "
"40","KT "
"41","KT "
"42","넥슨코리아 "
"43","KT "
"44","CJ헬로비전 "
"45","한화생명 "
"46","KT "
"47","LG CNS "
"48","삼성카드 "
"49","삼성카드 "
"50","LG CNS "
"51","CJ올리브네트웍스 "
"52","SKT "
"53","SK텔레콤 "
"54","SK텔레콤 "
"55","LG CNS "
"56","SK텔레콤 "
"57","SK텔레콤 "
"58","SK텔레콤 "
"59","SK텔레콤 "
"60","SK텔레콤 "
