"","x"
"1","삼성 "
"2","삼성 "
"3","삼성 엔지니어링 "
"4","삼성 엔지니어링 "
"5","삼성 에스원 "
"6","삼성 바이오로직스 "
"7","삼성증권 "
"8","삼성생명 "
"9","삼성전자 "
"10","삼성전자 "
"11","삼성전자 "
"12","삼성전자 "
"13","서울삼성1동우편취급국 "
"14","삼성SDI "
"15","삼성엔지니어링 "
"16","삼성전자 "
"17","삼성전자 "
"18","삼성전자 "
"19","삼성전자 "
"20","삼성전자 "
"21","삼성전자 "
"22","삼성전자 "
"23","삼성전자 "
"24","삼성전자 "
"25","삼성전자 "
"26","삼성전자 "
"27","삼성전자 "
"28","삼성전자 "
"29","삼성SDI "
"30","삼성전자 "
"31","삼성전자 "
"32","삼성전자 "
"33","삼성전자 "
"34","삼성전자 "
"35","삼성전자 "
"36","삼성웰스토리 "
"37","삼성전자판매 "
"38","삼성웰스토리 "
"39","삼성화재서비스 "
"40","삼성창원병원 "
"41","삼성엔지니어링 "
"42","삼성전자 "
"43","삼성전자 "
"44","삼성전자 "
"45","삼성전자 "
"46","삼성전자 "
"47","삼성전자 "
"48","삼성전자 "
"49","삼성전자 "
"50","삼성웰스토리 "
"51","삼성전자 "
"52","삼성전자 "
"53","삼성전자 "
"54","삼성전자 "
"55","삼성SDI "
"56","삼성전자 "
"57","삼성전자 "
"58","삼성전자판매 "
"59","삼성웰스토리 "
"60","삼성웰스토리 "
"61","삼성화재서비스 "
"62","삼성창원병원 "
"63","삼성SDI "
"64","삼성화재 "
"65","삼성전기 "
"66","삼성SDI "
"67","삼성전자 "
"68","삼성전자 "
"69","삼성전자 "
"70","삼성전자 "
"71","삼성전자 "
"72","삼성전자 "
"73","삼성전자DS "
"74","삼성생명보험주식회사 "
"75","삼성전자 "
"76","삼성전자 "
"77","삼성전자 "
"78","삼성디스플레이 "
"79","삼성전자 "
"80","삼성전자 "
"81","삼성전자 "
"82","삼성전자 "
"83","삼성전자 "
"84","삼성전자 "
"85","삼성전자 "
"86","삼성디스플레이 "
"87","삼성웰스토리 "
"88","삼성바이오로직스 "
"89","삼성전자 (TSP센터) "
"90","삼성화재 "
